,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid,configuration
setup0run35,6792.57800000906,295.37700000000376,4.611999999999993,0.091,322.34499999999997,0,344.13000000000005,329.133,0,0,4443.223000004888,4443.461999997497,0,2,4126.5,8.599999994039536,,
setup0run36,6893.582000002265,309.072999999999,3.9460000000000006,0.07,309.98599999999993,0,312.274,295.952,0,0,4512.090000003576,4512.32500000298,0,2,4227.100000008941,8,,
setup0run37,6824.608999997377,316.371,3.9900000000000055,0.055,268.59000000000003,0,312.866,278.82599999999996,0,0,4459.612000003457,4460.052000001073,0,2,4204.70000000298,9.600000008940697,,
setup0run38,6383,282.91400000000556,4.065000000000004,0.133,273.65199999999993,0,279.60900000000004,295.28499999999997,0,0,4175.935000002384,4176.297999992967,0,2,3901.800000011921,8.700000002980232,,
setup0run39,6445.980999991298,275.9870000000089,3.9810000000000016,0.087,300.364,0,296.53100000000006,289.978,0,0,4092.01099999249,4092.538999989629,0,2,3819.2999999970198,8.799999997019768,,
setup0run40,6189.2919999957085,294.6930000000065,4.686000000000013,0.107,146.92000000000004,0,162.346,250.422,0,0,3934.177000001073,3934.482999995351,0,2,4086.2000000029802,8.5,,
setup0run41,6497.667999997735,281.6330000000093,4.304999999999995,0.055,281.50499999999994,0,311.41200000000003,284.68800000000005,0,0,4306.547000005841,4306.777999997139,0,2,3991.5999999940395,7.9000000059604645,,
setup0run42,6459.032000005245,291.3050000000034,3.792999999999999,0.106,301.99,0,302.55,291.4429999999999,0,0,4258.755999997258,4259.062000006437,0,2,4004.3999999910593,9,,
setup0run43,6277.892000004649,274.659000000007,3.9550000000000094,0.075,276.07700000000006,0,287.171,285.51,0,0,4058.3650000095367,4058.6459999978542,0,2,3739.5,7.5,,
setup0run44,6828.683000013232,324.000999999995,3.697999999999987,0.053,266.16900000000004,0,273.125,293.237,0,0,4614.433000013232,4614.723000004888,0,2,4356.70000000298,9.199999988079071,,
setup0run45,6649.7379999905825,306.3310000000046,4.161,0.115,286.935,0,302.7769999999999,290.80400000000003,0,0,4465.641999989748,4465.886999994516,0,2,4195.70000000298,8.099999994039536,,
setup0run46,7087.7249999940395,305.256000000003,3.8719999999999963,0.065,330.66299999999995,0,341.9549999999999,298.30299999999994,0,0,4555.929000005126,4556.317000001669,0,2,4302.29999999702,8.200000002980232,,
setup0run47,6598.121000006795,294.1330000000036,3.700999999999992,0.121,296.14700000000005,0,299.17499999999995,283.418,0,0,4395.024000003934,4395.245000004768,0,2,4129.70000000298,7.700000002980232,,
setup0run48,6562.298000007868,285.8720000000097,4.786000000000003,0.101,280.6629999999999,0,288.56600000000003,285.569,0,0,4093.798000007868,4094.1889999955893,0,2,3850.6000000089407,9.5,,
setup0run49,6776.333999991417,286.3140000000076,3.9270000000000014,0.053,318.24699999999996,0,311.07,289.816,0,0,4263.953999996185,4264.229000002146,0,2,4045,9,,
setup1run0,5623.428,237.52600000000965,5.105999999999995,0.064,172.12199999999928,0,142.38499999999965,242.2590000000003,0,0,614.9550000000017,3030.0639999999985,0,2,3449.9000000000087,8.099999999991269,bion,
setup1run1,7216.4179999998305,309.9329999999963,4.273000000000001,0.106,339.8799999999991,0,284.87299999999993,317.1589999999966,0,0,4699.706999999937,4699.947999999858,0,2,4350.699999999953,9.299999999813735,bion,
setup1run2,7147.270000000019,295.61300000000927,4.583999999999996,0.064,408.69999999999925,0,332.916,345.96499999999764,0,0,4914.7990000001155,4915.125,0,2,4503.799999999814,11.100000000093132,bion,
setup1run3,7417.730000000447,304.29999999999416,4.559999999999991,0.054,355.5299999999991,0,311.851,393.04899999999117,0,0,4752.474000000395,4752.788999999873,0,2,4368.0999999996275,8.099999999627471,bion,
setup1run4,7174.741000000775,295.6860000000085,4.755999999999992,0.136,349.29799999999926,0,294.3340000000001,340.14199999998954,0,0,4662.333000000566,4662.7770000007,0,2,4305.200000000186,11.700000000186265,bion,
setup1run5,7172.379000000656,292.2940000000063,4.346000000000005,0.064,378.0069999999992,0,306.97099999999995,358.4309999999985,0,0,4702.656999999657,4702.918999999762,0,2,4307.699999999255,8.199999999254942,bion,
setup1run6,7710.94299999997,315.3389999999965,4.251,0.077,325.3659999999994,0,273.2529999999998,416.79099999999465,0,0,4823.844000000507,4824.105000000447,0,2,4394.4000000003725,8.800000000745058,bion,
setup1run7,7319.926000000909,315.1659999999941,4.0830000000000135,0.088,341.04799999999904,0,291.288,324.0289999999981,0,0,4841.366000000387,4841.656999999657,0,2,4395.4000000003725,7.900000000372529,bion,
setup1run8,7232.377999999836,297.3570000000025,4.284999999999995,0.111,410.0299999999989,0,320.7280000000001,345.1339999999902,0,0,4721.979000000283,4722.266999999061,0,2,4353.299999998882,8.399999998509884,bion,
setup1run9,7051.991999998689,300.63899999999563,4.548000000000002,0.108,369.9689999999992,0,305.19800000000004,345.224999999992,0,0,4650.087000001222,4650.453999999911,0,2,4211.39999999851,11.100000001490116,bion,
setup1run10,6881.738000001758,301.2630000000085,4.243000000000013,0.057,350.29399999999924,0,297.32500000000016,329.30499999999046,0,0,4660.9860000014305,4661.235000003129,0,2,4309.699999999255,8.900000002235174,bion,
setup1run11,7576.442000001669,317.39500000000527,4.321000000000006,0.087,363.5879999999994,0,302.19900000000007,387.71699999999134,0,0,4887.06799999997,4887.296999998391,0,2,4461.699999999255,11.100000001490116,bion,
setup1run12,7022.450999997556,311.41099999999585,4.414999999999996,0.115,358.17799999999926,0,306.04300000000006,325.86499999999137,0,0,4822.68200000003,4822.877999998629,0,2,4405.10000000149,10,bion,
setup1run13,7268.5689999982715,319.887999999994,4.273999999999999,0.104,347.19199999999944,0,293.3359999999999,316.6339999999967,0,0,4871.838999997824,4872.099999997765,0,2,4485.300000000745,9.699999999254942,bion,
setup1run14,7295.546000000089,291.47600000000716,4.369000000000003,0.071,361.13699999999903,0,345.50100000000003,348.3169999999976,0,0,4798.596999999136,4798.929999999702,0,2,4332.699999999255,10,bion,
setup1run15,7112.995999999344,288.0570000000044,4.5669999999999975,0.13,378.60599999999937,0,310.119,342.05899999999826,0,0,4648.78200000152,4649.087999999523,0,2,4169.89999999851,11.900000002235174,bion,
setup1run16,7287.582999996841,312.9340000000039,4.217999999999993,0.056,337.1289999999993,0,291.4789999999999,330.4639999999926,0,0,4840.686999998987,4841.013000000268,0,2,4425.199999999255,11.099999997764826,bion,
setup1run17,7181.222999997437,296.23100000000994,4.241000000000004,0.08,393.2679999999992,0,317.9820000000001,347.2559999999963,0,0,4741.333000000566,4741.7210000008345,0,2,4317.5,9.5,bion,
setup1run18,7344.695999994874,295.4960000000036,4.412999999999992,0.079,394.0919999999993,0,322.9439999999999,345.56199999999745,0,0,4894.207999996841,4894.571999996901,0,2,4372.39999999851,9.799999997019768,bion,
setup1run19,7257.2639999985695,313.4959999999936,4.059999999999992,0.232,336.6529999999992,0,292.29400000000004,335.03799999999626,0,0,4825.505000002682,4825.792000003159,0,2,4408.30000000447,10.600000001490116,bion,
setup1run20,6871.219999998808,312.6479999999947,4.918999999999998,0.057,344.0919999999992,0,293.802,325.66799999999483,0,0,4644.8339999988675,4645.048000000417,0,2,4326.9000000059605,8.199999995529652,bion,
setup1run21,7385.923000003815,317.12499999999756,4.864999999999998,0.193,346.38199999999955,0,282.1539999999999,325.4259999999955,0,0,4925.570000000298,4925.890000000596,0,2,4465.60000000149,7.799999997019768,bion,
setup1run22,7117.788999997079,316.5509999999952,4.741999999999999,0.111,373.67899999999895,0,302.12700000000007,335.4809999999956,0,0,4902.831999994814,4903.0839999988675,0,2,4484.29999999702,8.399999998509884,bion,
setup1run23,7278.234999999404,317.31999999999505,3.6950000000000003,0.058,348.97999999999934,0,288.83499999999987,319.55699999999945,0,0,4942.814999997616,4943.145999997854,0,2,4540.20000000298,7.899999998509884,bion,
setup1run24,7450.502000004053,318.68699999999916,3.8410000000000033,0.062,335.61899999999935,0,293.5119999999999,328.1449999999952,0,0,4960.211000002921,4960.472000002861,0,2,4622.5999999940395,7.899999998509884,bion,
setup1run25,7256.813000001013,311.1659999999979,4.246999999999999,0.091,409.203999999999,0,341.273,354.9669999999938,0,0,4866.697999998927,4867.0410000011325,0,2,4407.20000000298,9.800000004470348,bion,
setup1run26,9962.792999997735,282.7160000000118,5.597,0.078,327.3219999999995,0,262.0559999999998,292.2709999999949,0,0,7543.77499999851,7543.994000002742,0,2,4121.60000000149,10.300000004470348,bion,
setup1run27,6986.519000001252,284.99100000000857,3.8039999999999923,0.06,363.0499999999991,0,322.46100000000007,340.16999999999246,0,0,4561.1810000017285,4561.58900000155,0,2,4155.79999999702,8,bion,
setup1run28,6741.311000004411,286.44200000000745,3.7639999999999936,0.169,376.80899999999934,0,327.2209999999999,334.5499999999907,0,0,4534.871000006795,4535.124000005424,0,2,4173.60000000149,8.099999994039536,bion,
setup1run29,6882.524000003934,289.4110000000091,3.7119999999999957,0.08,385.9359999999991,0,317.821,336.56599999999054,0,0,4593.229000002146,4593.425999999046,0,2,4259.60000000149,7.800000004470348,bion,
setup1run30,7013.0960000008345,307.5110000000008,4.160000000000012,0.074,405.94699999999904,0,312.70700000000005,344.0239999999943,0,0,4786.597999997437,4786.887000001967,0,2,4377.89999999851,8.100000001490116,bion,
setup1run31,6933.109999999404,281.9050000000069,4.222000000000005,0.093,373.9609999999992,0,298.82399999999996,335.2019999999952,0,0,4531.325999997556,4531.564999997616,0,2,4177.79999999702,8.299999997019768,bion,
setup1run32,7108.5560000017285,285.10600000000994,3.5520000000000076,0.156,337.4499999999991,0,285.01000000000016,302.96299999999246,0,0,4601.140000000596,4601.465000003576,0,2,4261.79999999702,8,bion,
setup1run33,8012.946999996901,330.5759999999894,4.431000000000001,0.063,510.4460000000028,0,383.1509999999999,433.1289999999949,0,0,5253.676999993622,5253.995999999344,0,2,4799.9000000059605,9,bion,
setup1run34,7164.54999999702,310.7040000000003,4.53499999999999,0.071,415.96099999999916,0,333.41900000000004,354.2279999999952,0,0,4946.7210000008345,4947.092000000179,0,2,4506.89999999851,10.399999998509884,bion,
setup1run35,7233.056000009179,307.0770000000089,4.458999999999999,0.063,388.21699999999925,0,359.9619999999998,355.7219999999973,0,0,5003.420000001788,5003.643000006676,0,2,4590.5999999940395,8.900000005960464,bion,
setup1run36,7279.975999996066,313.09600000000347,4.571000000000007,0.076,338.4599999999993,0,294.3919999999999,328.3609999999922,0,0,4784.342000007629,4784.636000007391,0,2,4404.100000008941,8.199999988079071,bion,
