,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid,configuration
setup0run15,6651.493999999948,266.70300000000844,5.5200000000000085,0.057,144.349,0,154.88100000000003,298.448,0,0,605.7160000000149,606.4279999993742,0,2,4172.899999999441,9.5,,
setup0run16,6672.175999999978,265.18900000000514,5.480999999999993,0.065,151.246,0,162.656,301.106,0,0,625.3529999991879,626.1239999998361,0,2,4204.600000000559,8.099999999627471,,
setup0run17,6411.2130000004545,259.7910000000116,4.5190000000000055,0.09,147.45899999999995,0,162.12900000000002,330.02099999999996,0,0,3720.225000000559,3720.5940000005066,0,2,4029.7000000001863,8.900000000372529,,
setup0run18,6510.814000000246,265.4510000000073,6.097000000000004,0.084,144.90499999999994,0,155.59900000000002,321.958,0,0,602.5650000004098,603.6870000008494,0,2,4030.5,8.899999999441206,,
setup0run19,6582.063999999315,267.67900000000765,5.706,0.064,145.051,0,161.626,302.861,0,0,633.2059999993071,634.046999999322,0,2,4168.5,8.200000000186265,,
setup0run20,6773.75299999956,261.26500000000567,5.932,0.059,155.11599999999999,0,158.092,297.706,0,0,627.9550000000745,628.6710000000894,0,2,4168.600000000559,8.900000000372529,,
setup0run21,6579.917999999598,269.8030000000077,5.263999999999998,0.079,146.85799999999998,0,159.75,298.44100000000003,0,0,592.2450000001118,594.2529999995604,0,2,4166.300000000745,9.799999999813735,,
setup0run22,6437.06799999997,260.2210000000061,5.63700000000001,0.107,143.682,0,156.01999999999998,276.113,0,0,603.0529999993742,603.8699999991804,0,2,4022.7999999998137,8.700000000186265,,
setup0run23,6645.007999999449,270.887000000005,5.9139999999999935,0.061,152.636,0,158.58200000000002,318.617,0,0,590.0779999997467,590.8879999993369,0,2,4241.5,9,,
setup0run24,6597.097000000067,263.71100000000627,5.781000000000006,0.069,153.16200000000003,0,158.33300000000003,295.963,0,0,599.6419999999925,600.3519999999553,0,2,4125.799999999814,8.299999999813735,,
setup0run25,6644.64400000032,282.4340000000058,5.5749999999999975,0.113,148.07899999999998,0,159.505,305.084,0,0,660.3880000002682,661.1270000003278,0,2,4295.9000000003725,9,,
setup0run26,7481.449000000022,269.008,5.251999999999992,0.062,154.218,0,167.42600000000002,298.899,0,0,1539.839999999851,1540.4930000007153,0,2,5129.299999999814,7.900000000372529,,
